,company name,ratings,company_type,location,other_loc
0,TCS,3.3,IT Services & Consulting, Mumbai ,437 other locations
1,Accenture,3.7,IT Services & Consulting, Mumbai ,255 other locations
2,Wipro,3.6,IT Services & Consulting, Mumbai ,370 other locations
3,Cognizant,3.6,IT Services & Consulting, Mumbai ,229 other locations
4,Capgemini,3.7,IT Services & Consulting, Mumbai ,183 other locations
5,HDFC Bank,3.8,Banking, Mumbai ,1817 other locations
6,Infosys,3.5,IT Services & Consulting, Mumbai ,246 other locations
7,ICICI Bank,4.0,Banking, Mumbai ,1436 other locations
8,HCLTech,3.4,IT Services & Consulting, Mumbai ,226 other locations
9,Tech Mahindra,3.4,IT Services & Consulting, Mumbai ,336 other locations
10,Genpact,3.6,IT Services & Consulting, Mumbai ,182 other locations
11,Teleperformance,3.8,BPO, Mumbai ,254 other locations
12,Axis Bank,3.6,Banking, Mumbai ,1497 other locations
13,Jio,4.3,Telecom, Mumbai ,1861 other locations
14,Concentrix Corporation,3.6,BPO, Mumbai ,178 other locations
15,Amazon,3.9,Internet, Mumbai ,521 other locations
16,iEnergizer,4.6,BPO, Mumbai ,51 other locations
17,Reliance Retail,3.9,Retail, Mumbai ,1149 other locations
18,LTIMindtree,3.6,IT Services & Consulting, Mumbai ,146 other locations
19,IBM,3.9,IT Services & Consulting, Mumbai ,160 other locations
20,HDB Financial Services,3.9,NBFC, Mumbai ,1086 other locations
21,Larsen & Toubro Limited,3.9,Engineering & Construction, Mumbai ,753 other locations
22,Deloitte,3.7,Management Consulting, Mumbai ,187 other locations
23,Kotak Mahindra Bank,3.6,Banking, Mumbai ,681 other locations
24,Reliance Industries,4.0,Oil & Gas, Mumbai ,812 other locations
25,Vodafone Idea,3.9,Telecom, Mumbai ,700 other locations
26,Bharti Airtel,3.8,Telecom, Mumbai ,788 other locations
27,BYJU'S,3.2,EdTech, Mumbai ,322 other locations
28,WNS,3.3,IT Services & Consulting, Mumbai ,65 other locations
29,Tata Motors,4.1,Automobile, Mumbai ,507 other locations
