,company name,ratings,company_type,location,other_loc
0,TCS,3.3,IT Services & Consulting, Chennai ,438 other locations
1,Accenture,3.7,IT Services & Consulting, Chennai ,254 other locations
2,Wipro,3.6,IT Services & Consulting, Chennai ,369 other locations
3,Cognizant,3.6,IT Services & Consulting, Chennai ,228 other locations
4,Capgemini,3.7,IT Services & Consulting, Chennai ,184 other locations
5,HDFC Bank,3.8,Banking, Chennai ,1819 other locations
6,Infosys,3.5,IT Services & Consulting, Chennai ,246 other locations
7,ICICI Bank,4.0,Banking, Chennai ,1436 other locations
8,HCLTech,3.4,IT Services & Consulting, Chennai ,226 other locations
9,Tech Mahindra,3.4,IT Services & Consulting, Chennai ,331 other locations
10,Genpact,3.6,IT Services & Consulting, Chennai ,182 other locations
11,Teleperformance,3.8,BPO, Chennai ,253 other locations
12,Axis Bank,3.6,Banking, Chennai ,1499 other locations
13,Jio,4.4,Telecom, Chennai ,1882 other locations
14,Concentrix Corporation,3.6,BPO, Chennai ,179 other locations
15,Amazon,3.9,Internet, Chennai ,518 other locations
16,iEnergizer,4.6,BPO, Chennai ,51 other locations
17,Reliance Retail,3.9,Retail, Chennai ,1150 other locations
18,LTIMindtree,3.6,IT Services & Consulting, Chennai ,146 other locations
19,IBM,3.9,IT Services & Consulting, Chennai ,160 other locations
20,HDB Financial Services,3.9,NBFC, Chennai ,1089 other locations
21,Larsen & Toubro Limited,3.9,Engineering & Construction, Chennai ,754 other locations
22,Deloitte,3.7,Management Consulting, Chennai ,187 other locations
23,Kotak Mahindra Bank,3.6,Banking, Chennai ,681 other locations
24,Reliance Industries,4.0,Oil & Gas, Chennai ,812 other locations
25,Vodafone Idea,3.9,Telecom, Chennai ,703 other locations
26,Bharti Airtel,3.8,Telecom, Chennai ,789 other locations
27,BYJU'S,3.2,EdTech, Chennai ,321 other locations
28,WNS,3.3,IT Services & Consulting, Chennai ,65 other locations
29,Tata Motors,4.1,Automobile, Chennai ,505 other locations
30,IDFC FIRST Bank,3.9,Banking, Chennai ,710 other locations
31,Ernst & Young,3.4,Management Consulting, Chennai ,131 other locations
32,IndusInd Bank,3.4,Banking, Chennai ,786 other locations
33,AU Small Finance Bank,3.9,Banking, Chennai ,782 other locations
34,Flipkart,3.9,Internet, Chennai ,559 other locations
35,Bajaj Finserv,3.9,NBFC, Chennai ,1160 other locations
36,Muthoot FinCorp,4.5,NBFC, Chennai ,1087 other locations
37,PwC,3.3,Management Consulting, Chennai ,132 other locations
38,Infosys BPM,3.5,BPO, Chennai ,95 other locations
