,company name,ratings,company_type,location,other_loc
0,TCS,3.3,IT Services & Consulting , Gurgaon / Gurugram ,437 other locations
1,Accenture,3.7,IT Services & Consulting , Gurgaon / Gurugram ,255 other locations
2,Wipro,3.6,IT Services & Consulting , Gurgaon / Gurugram ,370 other locations
3,Cognizant,3.6,IT Services & Consulting , Gurgaon / Gurugram ,229 other locations
4,Capgemini,3.7,IT Services & Consulting , Gurgaon / Gurugram ,183 other locations
5,HDFC Bank,3.8,Banking , Gurgaon / Gurugram ,1817 other locations
6,Infosys,3.5,IT Services & Consulting , Gurgaon / Gurugram ,246 other locations
7,ICICI Bank,4.0,Banking , Gurgaon / Gurugram ,1436 other locations
8,HCLTech,3.4,IT Services & Consulting , Gurgaon / Gurugram ,226 other locations
9,Tech Mahindra,3.4,IT Services & Consulting , Gurgaon / Gurugram ,336 other locations
10,Genpact,3.6,IT Services & Consulting , Gurgaon / Gurugram ,182 other locations
11,Teleperformance,3.8,BPO , Gurgaon / Gurugram ,254 other locations
12,Axis Bank,3.6,Banking , Gurgaon / Gurugram ,1497 other locations
13,Jio,4.3,Telecom , Gurgaon / Gurugram ,1866 other locations
14,Concentrix Corporation,3.6,BPO , Gurgaon / Gurugram ,179 other locations
15,Amazon,3.9,Internet , Gurgaon / Gurugram ,521 other locations
16,iEnergizer,4.6,BPO , Gurgaon / Gurugram ,51 other locations
17,Reliance Retail,3.9,Retail , Gurgaon / Gurugram ,1149 other locations
18,LTIMindtree,3.6,IT Services & Consulting , Gurgaon / Gurugram ,146 other locations
19,IBM,3.9,IT Services & Consulting , Gurgaon / Gurugram ,160 other locations
20,HDB Financial Services,3.9,NBFC , Gurgaon / Gurugram ,1086 other locations
21,Larsen & Toubro Limited,3.9,Engineering & Construction , Gurgaon / Gurugram ,753 other locations
22,Deloitte,3.7,Management Consulting , Gurgaon / Gurugram ,187 other locations
23,Kotak Mahindra Bank,3.6,Banking , Gurgaon / Gurugram ,681 other locations
24,Reliance Industries,4.0,Oil & Gas , Gurgaon / Gurugram ,812 other locations
25,Vodafone Idea,3.9,Telecom , Gurgaon / Gurugram ,700 other locations
26,Bharti Airtel,3.8,Telecom , Gurgaon / Gurugram ,788 other locations
27,BYJU'S,3.2,EdTech , Gurgaon / Gurugram ,322 other locations
28,WNS,3.3,IT Services & Consulting , Gurgaon / Gurugram ,65 other locations
29,Tata Motors,4.1,Automobile , Gurgaon / Gurugram ,507 other locations
30,IDFC FIRST Bank,3.9,Banking , Gurgaon / Gurugram ,710 other locations
31,Ernst & Young,3.4,Management Consulting , Gurgaon / Gurugram ,131 other locations
32,IndusInd Bank,3.4,Banking , Gurgaon / Gurugram ,788 other locations
33,AU Small Finance Bank,3.9,Banking , Gurgaon / Gurugram ,778 other locations
34,Flipkart,3.9,Internet , Gurgaon / Gurugram ,560 other locations
35,Bajaj Finserv,3.9,NBFC , Gurgaon / Gurugram ,1160 other locations
36,Muthoot FinCorp,4.5,NBFC , Gurgaon / Gurugram ,1086 other locations
37,PwC,3.3,Management Consulting , Gurgaon / Gurugram ,132 other locations
38,Mahindra & Mahindra,4.0,Automobile , Gurgaon / Gurugram ,558 other locations
39,DXC Technology,3.6,IT Services & Consulting , Gurgaon / Gurugram ,133 other locations
40,Infosys BPM,3.5,BPO , Gurgaon / Gurugram ,95 other locations
41,HDFC Life,3.9,Insurance , Gurgaon / Gurugram ,695 other locations
42,Bandhan Bank,3.7,Banking , Gurgaon / Gurugram ,991 other locations
43,Conneqt Business Solutions,3.6,BPO , Gurgaon / Gurugram ,265 other locations
44,Mphasis,3.3,IT Services & Consulting , Gurgaon / Gurugram ,63 other locations
45,Yes Bank,3.7,Banking , Gurgaon / Gurugram ,540 other locations
46,Tata Steel,4.0,Iron & Steel , Gurgaon / Gurugram ,226 other locations
47,Quess,3.8,Recruitment , Gurgaon / Gurugram ,739 other locations
