,company name,ratings,company_type,location,other_loc
0,TCS,3.3,IT Services & Consulting, Indore ,437 other locations
1,Accenture,3.7,IT Services & Consulting, Indore ,255 other locations
2,Wipro,3.6,IT Services & Consulting, Indore ,370 other locations
3,Cognizant,3.6,IT Services & Consulting, Indore ,229 other locations
4,Capgemini,3.7,IT Services & Consulting, Indore ,183 other locations
5,HDFC Bank,3.8,Banking, Indore ,1817 other locations
6,Infosys,3.5,IT Services & Consulting, Indore ,246 other locations
7,ICICI Bank,4.0,Banking, Indore ,1436 other locations
8,HCLTech,3.4,IT Services & Consulting, Indore ,226 other locations
9,Tech Mahindra,3.4,IT Services & Consulting, Indore ,336 other locations
10,Genpact,3.6,IT Services & Consulting, Indore ,182 other locations
11,Teleperformance,3.8,BPO, Indore ,254 other locations
12,Axis Bank,3.6,Banking, Indore ,1497 other locations
13,Jio,4.3,Telecom, Indore ,1866 other locations
14,Concentrix Corporation,3.6,BPO, Indore ,179 other locations
15,Amazon,3.9,Internet, Indore ,521 other locations
16,iEnergizer,4.6,BPO, Indore ,51 other locations
17,Reliance Retail,3.9,Retail, Indore ,1149 other locations
18,LTIMindtree,3.6,IT Services & Consulting, Indore ,146 other locations
19,IBM,3.9,IT Services & Consulting, Indore ,160 other locations
20,HDB Financial Services,3.9,NBFC, Indore ,1086 other locations
21,Larsen & Toubro Limited,3.9,Engineering & Construction, Indore ,753 other locations
22,Deloitte,3.7,Management Consulting, Indore ,187 other locations
23,Kotak Mahindra Bank,3.6,Banking, Indore ,681 other locations
24,Reliance Industries,4.0,Oil & Gas, Indore ,812 other locations
25,Vodafone Idea,3.9,Telecom, Indore ,700 other locations
26,Bharti Airtel,3.8,Telecom, Indore ,788 other locations
27,BYJU'S,3.2,EdTech, Indore ,322 other locations
28,WNS,3.3,IT Services & Consulting, Indore ,65 other locations
29,Tata Motors,4.1,Automobile, Indore ,507 other locations
30,IDFC FIRST Bank,3.9,Banking, Indore ,710 other locations
31,Ernst & Young,3.4,Management Consulting, Indore ,131 other locations
32,IndusInd Bank,3.4,Banking, Indore ,788 other locations
33,AU Small Finance Bank,3.9,Banking, Indore ,778 other locations
34,Flipkart,3.9,Internet, Indore ,560 other locations
35,Bajaj Finserv,3.9,NBFC, Indore ,1160 other locations
36,Muthoot FinCorp,4.5,NBFC, Indore ,1086 other locations
37,PwC,3.3,Management Consulting, Indore ,132 other locations
38,DXC Technology,3.6,IT Services & Consulting, Indore ,133 other locations
39,Mahindra & Mahindra,4.0,Automobile, Indore ,557 other locations
40,Infosys BPM,3.5,BPO, Indore ,95 other locations
41,HDFC Life,3.9,Insurance, Indore ,695 other locations
42,Bandhan Bank,3.7,Banking, Indore ,991 other locations
43,Conneqt Business Solutions,3.6,BPO, Indore ,265 other locations
44,Mphasis,3.3,IT Services & Consulting, Indore ,63 other locations
45,Yes Bank,3.7,Banking, Indore ,540 other locations
46,Tata Steel,4.0,Iron & Steel, Indore ,226 other locations
47,Quess,3.8,Recruitment, Indore ,739 other locations
48,Startek,3.1,BPO, Indore ,107 other locations
49,Asian Paints,3.9,Chemicals, Indore ,548 other locations
50,UltraTech Cement,4.1,Building Material, Indore ,532 other locations
51,Paytm,3.2,FinTech, Indore ,416 other locations
52,Shriram Finance,4.0,NBFC, Indore ,1105 other locations
53,Maruti Suzuki,4.2,Automobile, Indore ,445 other locations
54,Bajaj Finance,3.9,NBFC, Indore ,959 other locations
55,Equitas Small Finance Bank,4.4,Banking, Indore ,472 other locations
56,Cipla,4.1,Pharma, Indore ,290 other locations
57,Samsung,3.9,Consumer Electronics & Appliances, Indore ,579 other locations
58,Ericsson,4.0,Telecom, Indore ,162 other locations
59,Dr. Reddy's,4.0,Pharma, Indore ,213 other locations
60,Delhivery,3.8,Logistics, Indore ,746 other locations
61,ICICI Prudential Life Insurance,4.0,Insurance, Indore ,504 other locations
62,JPMorgan Chase & Co.,3.8,Financial Services, Indore ,55 other locations
63,HGS,3.8,BPO, Indore ,121 other locations
64,JSW Steel,3.9,Iron & Steel, Indore ,195 other locations
65,Jana Small Finance Bank,3.8,Banking, Indore ,418 other locations
66,Sun Pharmaceutical Industries,4.1,Pharma, Indore ,263 other locations
67,Amazon Development Centre India,3.8,Internet, Indore ,146 other locations
68,Hexaware Technologies,3.4,IT Services & Consulting, Indore ,66 other locations
69,Ujjivan Small Finance Bank,4.0,Banking, Indore ,530 other locations
70,Lupin,4.1,Pharma, Indore ,203 other locations
71,Zydus Lifesciences,3.9,Pharma, Indore ,175 other locations
72,L&T Construction,4.0,Engineering & Construction, Indore ,428 other locations
