,company name,ratings,company_type,location,other_loc
0,TCS,3.3,IT Services & Consulting, Kolkata ,437 other locations
1,Accenture,3.7,IT Services & Consulting, Kolkata ,255 other locations
2,Wipro,3.6,IT Services & Consulting, Kolkata ,370 other locations
3,Cognizant,3.6,IT Services & Consulting, Kolkata ,229 other locations
4,Capgemini,3.7,IT Services & Consulting, Kolkata ,183 other locations
5,HDFC Bank,3.8,Banking, Kolkata ,1817 other locations
6,Infosys,3.5,IT Services & Consulting, Kolkata ,246 other locations
7,ICICI Bank,4.0,Banking, Kolkata ,1436 other locations
8,HCLTech,3.4,IT Services & Consulting, Kolkata ,226 other locations
9,Tech Mahindra,3.4,IT Services & Consulting, Kolkata ,336 other locations
10,Genpact,3.6,IT Services & Consulting, Kolkata ,182 other locations
11,Teleperformance,3.8,BPO, Kolkata ,254 other locations
12,Axis Bank,3.6,Banking, Kolkata ,1497 other locations
13,Jio,4.3,Telecom, Kolkata ,1866 other locations
14,Concentrix Corporation,3.6,BPO, Kolkata ,179 other locations
15,Amazon,3.9,Internet, Kolkata ,521 other locations
16,iEnergizer,4.6,BPO, Kolkata ,51 other locations
17,Reliance Retail,3.9,Retail, Kolkata ,1149 other locations
18,LTIMindtree,3.6,IT Services & Consulting, Kolkata ,146 other locations
19,IBM,3.9,IT Services & Consulting, Kolkata ,160 other locations
20,HDB Financial Services,3.9,NBFC, Kolkata ,1086 other locations
21,Larsen & Toubro Limited,3.9,Engineering & Construction, Kolkata ,753 other locations
22,Deloitte,3.7,Management Consulting, Kolkata ,187 other locations
23,Kotak Mahindra Bank,3.6,Banking, Kolkata ,681 other locations
24,Reliance Industries,4.0,Oil & Gas, Kolkata ,812 other locations
25,Vodafone Idea,3.9,Telecom, Kolkata ,700 other locations
26,Bharti Airtel,3.8,Telecom, Kolkata ,788 other locations
27,BYJU'S,3.2,EdTech, Kolkata ,322 other locations
28,WNS,3.3,IT Services & Consulting, Kolkata ,65 other locations
29,Tata Motors,4.1,Automobile, Kolkata ,507 other locations
30,IDFC FIRST Bank,3.9,Banking, Kolkata ,710 other locations
31,Ernst & Young,3.4,Management Consulting, Kolkata ,131 other locations
32,IndusInd Bank,3.4,Banking, Kolkata ,788 other locations
33,AU Small Finance Bank,3.9,Banking, Kolkata ,778 other locations
34,Flipkart,3.9,Internet, Kolkata ,560 other locations
35,Bajaj Finserv,3.9,NBFC, Kolkata ,1160 other locations
36,Muthoot FinCorp,4.5,NBFC, Kolkata ,1086 other locations
37,PwC,3.3,Management Consulting, Kolkata ,132 other locations
38,Mahindra & Mahindra,4.0,Automobile, Kolkata ,558 other locations
39,DXC Technology,3.6,IT Services & Consulting, Kolkata ,133 other locations
40,Infosys BPM,3.5,BPO, Kolkata ,95 other locations
41,HDFC Life,3.9,Insurance, Kolkata ,695 other locations
42,Bandhan Bank,3.7,Banking, Kolkata ,991 other locations
43,Conneqt Business Solutions,3.6,BPO, Kolkata ,265 other locations
44,Mphasis,3.3,IT Services & Consulting, Kolkata ,63 other locations
45,Yes Bank,3.7,Banking, Kolkata ,540 other locations
46,Tata Steel,4.0,Iron & Steel, Kolkata ,226 other locations
47,Quess,3.8,Recruitment, Kolkata ,739 other locations
48,Startek,3.1,BPO, Kolkata ,107 other locations
49,Asian Paints,3.9,Chemicals, Kolkata ,548 other locations
50,UltraTech Cement,4.1,Building Material, Kolkata ,532 other locations
51,Paytm,3.2,FinTech, Kolkata ,416 other locations
52,Shriram Finance,4.0,NBFC, Kolkata ,1105 other locations
53,Maruti Suzuki,4.2,Automobile, Kolkata ,445 other locations
54,Bajaj Finance,3.9,NBFC, Kolkata ,959 other locations
55,Sutherland Global Services,3.4,BPO, Kolkata ,81 other locations
56,Equitas Small Finance Bank,4.4,Banking, Kolkata ,472 other locations
57,EXL Service,3.6,Analytics & KPO, Kolkata ,63 other locations
58,Cipla,4.1,Pharma, Kolkata ,290 other locations
59,Samsung,3.9,Consumer Electronics & Appliances, Kolkata ,577 other locations
60,Ericsson,4.0,Telecom, Kolkata ,162 other locations
61,Wells Fargo,3.7,Financial Services, Kolkata ,28 other locations
62,Dr. Reddy's,4.0,Pharma, Kolkata ,213 other locations
63,Delhivery,3.8,Logistics, Kolkata ,746 other locations
64,ICICI Prudential Life Insurance,4.0,Insurance, Kolkata ,504 other locations
65,JPMorgan Chase & Co.,3.8,Financial Services, Kolkata ,55 other locations
66,HGS,3.8,BPO, Kolkata ,121 other locations
67,JSW Steel,3.9,Iron & Steel, Kolkata ,195 other locations
68,Jana Small Finance Bank,3.8,Banking, Kolkata ,418 other locations
69,Sun Pharmaceutical Industries,4.1,Pharma, Kolkata ,263 other locations
70,Amazon Development Centre India,3.8,Internet, Kolkata ,146 other locations
71,Ujjivan Small Finance Bank,4.0,Banking, Kolkata ,529 other locations
72,Lupin,4.1,Pharma, Kolkata ,203 other locations
73,Zydus Lifesciences,3.9,Pharma, Kolkata ,175 other locations
74,L&T Construction,4.0,Engineering & Construction, Kolkata ,428 other locations
75,Hindustan Unilever,4.2,FMCG, Kolkata ,529 other locations
76,Ekart Logistics,3.9,Logistics, Kolkata ,737 other locations
77,KPMG India,3.4,Management Consulting, Kolkata ,111 other locations
78,ITC,3.9,FMCG, Kolkata ,374 other locations
79,Axis Max Life Insurance,4.0,Insurance, Kolkata ,494 other locations
80,Megha Engineering & Infrastructures,3.9,Engineering & Construction, Kolkata ,406 other locations
81,Tata Projects,4.2,Engineering & Construction, Kolkata ,284 other locations
82,Coforge,3.2,IT Services & Consulting, Kolkata ,104 other locations
83,FIS,3.8,FinTech, Kolkata ,61 other locations
84,Bajaj Life Insurance,3.9,Insurance, Kolkata ,603 other locations
85,L&T Technology Services,3.1,IT Services & Consulting, Kolkata ,93 other locations
86,Cholamandalam Investment & Finance,3.8,Financial Services, Kolkata ,829 other locations
87,IIFL Finance,4.0,NBFC, Kolkata ,800 other locations
88,Oracle,3.5,Software Product, Kolkata ,56 other locations
89,Indian Army,4.7,Defence & Aerospace, Kolkata ,363 other locations
90,Omega Healthcare,3.8,BPO, Kolkata ,69 other locations
91,Muthoot Finance,3.7,NBFC, Kolkata ,781 other locations
92,JLL,4.1,Real Estate, Kolkata ,85 other locations
93,HCL Group,3.5,IT Services & Consulting, Kolkata ,97 other locations
94,Virtusa Consulting Services,3.7,IT Services & Consulting, Kolkata ,55 other locations
95,Piramal Finance,4.2,NBFC, Kolkata ,419 other locations
96,DMart,3.9,Retail, Kolkata ,246 other locations
97,HSBC Group,3.9,Financial Services, Kolkata ,63 other locations
98,Udaan,3.9,Internet, Kolkata ,371 other locations
99,Indiamart Intermesh,3.5,Internet, Kolkata ,171 other locations
100,SMFG India Credit,3.9,NBFC, Kolkata ,590 other locations
101,Aurobindo Pharma,4.0,Pharma, Kolkata ,115 other locations
102,CGI Group,4.0,IT Services & Consulting, Kolkata ,43 other locations
103,BigBasket,3.9,Internet, Kolkata ,139 other locations
104,Siemens,3.9,Industrial Automation, Kolkata ,153 other locations
105,Manappuram Finance,3.9,NBFC, Kolkata ,645 other locations
106,Access Healthcare,3.7,BPO, Kolkata ,63 other locations
107,Shapoorji Pallonji Group,4.1,Engineering & Construction, Kolkata ,188 other locations
108,Firstsource Solutions,3.5,BPO, Kolkata ,73 other locations
109,GlobalLogic,3.5,IT Services & Consulting, Kolkata ,60 other locations
110,ICICI Lombard General Insurance Company,3.5,Insurance, Kolkata ,311 other locations
111,Tata Capital,4.0,NBFC, Kolkata ,435 other locations
112,Standard Chartered,3.6,Banking, Kolkata ,68 other locations
113,Mahindra Finance,3.9,NBFC, Kolkata ,728 other locations
114,Apollo Hospitals,4.1,Healthcare, Kolkata ,229 other locations
115,Bosch Global Software Technologies,3.7,IT Services & Consulting, Kolkata ,47 other locations
116,PolicyBazaar,3.7,Internet, Kolkata ,149 other locations
117,UST,3.7,IT Services & Consulting, Kolkata ,50 other locations
118,Ashok Leyland,4.0,Automobile, Kolkata ,254 other locations
119,Citicorp,3.7,Financial Services, Kolkata ,68 other locations
120,Swiggy,3.7,Internet, Kolkata ,228 other locations
121,Hero MotoCorp,4.1,Automobile, Kolkata ,364 other locations
122,Cyient,3.6,IT Services & Consulting, Kolkata ,48 other locations
123,SBI Cards & Payment Services,3.7,Financial Services, Kolkata ,435 other locations
124,Kalpataru Projects International,4.1,Engineering & Construction, Kolkata ,320 other locations
125,JustDial,3.5,Internet, Kolkata ,228 other locations
126,IQVIA,3.7,Clinical Research, Kolkata ,62 other locations
127,SBI Life Insurance Company,3.7,Insurance, Kolkata ,652 other locations
128,CBRE,4.1,Real Estate, Kolkata ,91 other locations
129,TVS Motor,3.9,Automobile, Kolkata ,349 other locations
130,NTT Data,3.8,IT Services & Consulting, Kolkata ,79 other locations
131,Nagarjuna Construction Company,4.0,Engineering & Construction, Kolkata ,295 other locations
132,Schneider Electric,4.1,Industrial Automation, Kolkata ,120 other locations
133,Persistent Systems,3.6,IT Services & Consulting, Kolkata ,42 other locations
134,vivo,4.1,Consumer Electronics & Appliances, Kolkata ,414 other locations
135,State Bank of India,3.8,Banking, Kolkata ,618 other locations
136,Atos,3.8,IT Services & Consulting, Kolkata ,49 other locations
137,Ecom Express,4.0,Logistics, Kolkata ,775 other locations
138,Eviden,3.6,IT Services & Consulting, Kolkata ,39 other locations
139,KEC International,4.0,Engineering & Construction, Kolkata ,312 other locations
140,Nagarro,3.9,IT Services & Consulting, Kolkata ,49 other locations
141,JBM Group,3.9,Auto Components, Kolkata ,116 other locations
142,Varun Beverages,4.0,Beverage, Kolkata ,379 other locations
143,ITC Infotech,3.7,IT Services & Consulting, Kolkata ,67 other locations
144,Home Credit Finance,4.0,NBFC, Kolkata ,136 other locations
145,Bosch,4.1,Auto Components, Kolkata ,129 other locations
146,EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting, Kolkata ,56 other locations
147,Hewlett Packard Enterprise,4.1,IT Services & Consulting, Kolkata ,103 other locations
148,Mahindra Logistics,3.7,Logistics, Kolkata ,233 other locations
149,L&T Finance,3.9,NBFC, Kolkata ,628 other locations
150,Aditya Birla Fashion and Retail,4.1,Fashion & Textile, Kolkata ,290 other locations
151,Utkarsh Small Finance Bank,3.6,Banking, Kolkata ,406 other locations
