,company name,ratings,company_type,location,other_loc
0,SBI Cards & Payment Services,3.7,Financial Services, Lucknow ,435 other locations
1,Kalpataru Projects International,4.1,Engineering & Construction, Lucknow ,320 other locations
2,JustDial,3.5,Internet, Lucknow ,228 other locations
3,IQVIA,3.7,Clinical Research, Lucknow ,62 other locations
4,SBI Life Insurance Company,3.7,Insurance, Lucknow ,652 other locations
5,CBRE,4.1,Real Estate, Lucknow ,91 other locations
6,TVS Motor,3.9,Automobile, Lucknow ,349 other locations
7,NTT Data,3.8,IT Services & Consulting, Lucknow ,79 other locations
8,Nagarjuna Construction Company,4.0,Engineering & Construction, Lucknow ,295 other locations
9,Schneider Electric,4.1,Industrial Automation, Lucknow ,120 other locations
10,vivo,4.1,Consumer Electronics & Appliances, Lucknow ,414 other locations
11,State Bank of India,3.8,Banking, Lucknow ,618 other locations
12,Ecom Express,4.0,Logistics, Lucknow ,775 other locations
13,Eviden,3.6,IT Services & Consulting, Lucknow ,39 other locations
14,KEC International,4.0,Engineering & Construction, Lucknow ,312 other locations
15,Nagarro,3.9,IT Services & Consulting, Lucknow ,49 other locations
16,JBM Group,3.9,Auto Components, Lucknow ,116 other locations
17,Varun Beverages,4.0,Beverage, Lucknow ,379 other locations
18,ITC Infotech,3.7,IT Services & Consulting, Lucknow ,67 other locations
19,Home Credit Finance,4.0,NBFC, Lucknow ,136 other locations
20,Bosch,4.1,Auto Components, Lucknow ,129 other locations
21,Hewlett Packard Enterprise,4.1,IT Services & Consulting, Lucknow ,103 other locations
22,Mahindra Logistics,3.7,Logistics, Lucknow ,233 other locations
23,L&T Finance,3.9,NBFC, Lucknow ,628 other locations
24,OPPO,3.9,Consumer Electronics & Appliances, Lucknow ,410 other locations
25,Aditya Birla Fashion and Retail,4.1,Fashion & Textile, Lucknow ,290 other locations
26,Utkarsh Small Finance Bank,3.6,Banking, Lucknow ,406 other locations
27,Randstad,3.7,Recruitment, Lucknow ,350 other locations
28,Dell,3.8,Consumer Electronics & Appliances, Lucknow ,117 other locations
29,CARS24,3.4,Internet, Lucknow ,173 other locations
30,Havells,3.9,Electrical Equipment, Lucknow ,258 other locations
31,R1 RCM,3.8,BPO, Lucknow ,47 other locations
32,Intas Pharmaceuticals,4.1,Pharma, Lucknow ,148 other locations
33,Tata AIA Life Insurance,3.9,Insurance, Lucknow ,441 other locations
34,Hyundai Motor India Limited,4.1,Automobile, Lucknow ,287 other locations
35,Hetero,3.9,Pharma, Lucknow ,67 other locations
36,Motilal Oswal Financial Services,3.7,Financial Services, Lucknow ,168 other locations
37,Team Lease,3.9,Recruitment, Lucknow ,394 other locations
38,Berger Paints,3.7,Chemicals, Lucknow ,353 other locations
39,Lenskart,3.3,Internet, Lucknow ,239 other locations
40,Thermax Limited,4.2,Industrial Machinery, Lucknow ,247 other locations
41,Bajaj Auto,3.8,Automobile, Lucknow ,317 other locations
42,Macleods Pharmaceuticals,3.7,Pharma, Lucknow ,131 other locations
43,Aakash Educational Services,3.2,Education & Training, Lucknow ,243 other locations
44,Kogta Financial India Limited,4.7,NBFC, Lucknow ,259 other locations
45,Jubilant Foods Works,3.7,Hospitality, Lucknow ,261 other locations
46,LG Electronics,3.9,Consumer Electronics & Appliances, Lucknow ,299 other locations
47,VE Commercial Vehicles,3.9,Automobile, Lucknow ,158 other locations
48,Royal Enfield,4.2,Automobile, Lucknow ,375 other locations
49,Jindal Steel Limited,3.9,Iron & Steel, Lucknow ,172 other locations
50,Hindalco Industries,4.2,Metals & Mining, Lucknow ,127 other locations
51,John Deere,4.0,Industrial Machinery, Lucknow ,156 other locations
52,Tata Communications,3.9,Telecom, Lucknow ,102 other locations
53,DCB Bank,3.8,Banking, Lucknow ,339 other locations
54,HDFC Ergo General Insurance,3.9,Insurance, Lucknow ,321 other locations
55,RBL Bank,3.5,Banking, Lucknow ,285 other locations
56,Cummins,4.3,Industrial Machinery, Lucknow ,113 other locations
57,Oyo Rooms,3.1,Internet, Lucknow ,121 other locations
58,Pidilite Industries,4.2,Chemicals, Lucknow ,311 other locations
59,Alembic Pharmaceuticals,3.9,Pharma, Lucknow ,187 other locations
60,Reliance Communications,4.0,Telecom, Lucknow ,465 other locations
