,company name,ratings,company_type,location,other_loc
0,TCS,3.3,IT Services & Consulting, Navi Mumbai ,437 other locations
1,Accenture,3.7,IT Services & Consulting, Navi Mumbai ,255 other locations
2,Wipro,3.6,IT Services & Consulting, Navi Mumbai ,370 other locations
3,Cognizant,3.6,IT Services & Consulting, Navi Mumbai ,229 other locations
4,Capgemini,3.7,IT Services & Consulting, Navi Mumbai ,183 other locations
5,HDFC Bank,3.8,Banking, Navi Mumbai ,1817 other locations
6,Infosys,3.5,IT Services & Consulting, Navi Mumbai ,246 other locations
7,ICICI Bank,4.0,Banking, Navi Mumbai ,1436 other locations
8,HCLTech,3.4,IT Services & Consulting, Navi Mumbai ,226 other locations
9,Tech Mahindra,3.4,IT Services & Consulting, Navi Mumbai ,336 other locations
10,Genpact,3.6,IT Services & Consulting, Navi Mumbai ,182 other locations
11,Teleperformance,3.8,BPO, Navi Mumbai ,254 other locations
12,Axis Bank,3.6,Banking, Navi Mumbai ,1497 other locations
13,Jio,4.3,Telecom, Navi Mumbai ,1866 other locations
14,Concentrix Corporation,3.6,BPO, Navi Mumbai ,179 other locations
15,Amazon,3.9,Internet, Navi Mumbai ,521 other locations
16,Reliance Retail,3.9,Retail, Navi Mumbai ,1149 other locations
17,LTIMindtree,3.6,IT Services & Consulting, Navi Mumbai ,146 other locations
18,IBM,3.9,IT Services & Consulting, Navi Mumbai ,160 other locations
19,HDB Financial Services,3.9,NBFC, Navi Mumbai ,1086 other locations
20,Larsen & Toubro Limited,3.9,Engineering & Construction, Navi Mumbai ,753 other locations
21,Deloitte,3.7,Management Consulting, Navi Mumbai ,187 other locations
22,Kotak Mahindra Bank,3.6,Banking, Navi Mumbai ,681 other locations
23,Reliance Industries,4.0,Oil & Gas, Navi Mumbai ,812 other locations
24,Vodafone Idea,3.9,Telecom, Navi Mumbai ,700 other locations
25,Bharti Airtel,3.8,Telecom, Navi Mumbai ,788 other locations
26,BYJU'S,3.2,EdTech, Navi Mumbai ,322 other locations
27,WNS,3.3,IT Services & Consulting, Navi Mumbai ,65 other locations
28,Tata Motors,4.1,Automobile, Navi Mumbai ,507 other locations
29,IDFC FIRST Bank,3.9,Banking, Navi Mumbai ,710 other locations
30,Ernst & Young,3.4,Management Consulting, Navi Mumbai ,131 other locations
31,IndusInd Bank,3.4,Banking, Navi Mumbai ,788 other locations
32,AU Small Finance Bank,3.9,Banking, Navi Mumbai ,778 other locations
33,Flipkart,3.9,Internet, Navi Mumbai ,560 other locations
34,Bajaj Finserv,3.9,NBFC, Navi Mumbai ,1160 other locations
35,Muthoot FinCorp,4.5,NBFC, Navi Mumbai ,1086 other locations
36,PwC,3.3,Management Consulting, Navi Mumbai ,132 other locations
37,DXC Technology,3.6,IT Services & Consulting, Navi Mumbai ,133 other locations
38,Mahindra & Mahindra,4.0,Automobile, Navi Mumbai ,557 other locations
39,Infosys BPM,3.5,BPO, Navi Mumbai ,95 other locations
40,HDFC Life,3.9,Insurance, Navi Mumbai ,695 other locations
41,Bandhan Bank,3.7,Banking, Navi Mumbai ,991 other locations
42,Conneqt Business Solutions,3.6,BPO, Navi Mumbai ,265 other locations
43,Mphasis,3.3,IT Services & Consulting, Navi Mumbai ,63 other locations
44,Yes Bank,3.7,Banking, Navi Mumbai ,540 other locations
45,Tata Steel,4.0,Iron & Steel, Navi Mumbai ,226 other locations
46,Quess,3.8,Recruitment, Navi Mumbai ,739 other locations
47,Startek,3.1,BPO, Navi Mumbai ,107 other locations
48,Asian Paints,3.9,Chemicals, Navi Mumbai ,548 other locations
49,UltraTech Cement,4.1,Building Material, Navi Mumbai ,532 other locations
50,Paytm,3.2,FinTech, Navi Mumbai ,416 other locations
51,Shriram Finance,4.0,NBFC, Navi Mumbai ,1105 other locations
52,Maruti Suzuki,4.2,Automobile, Navi Mumbai ,445 other locations
53,Bajaj Finance,3.9,NBFC, Navi Mumbai ,959 other locations
54,Sutherland Global Services,3.4,BPO, Navi Mumbai ,81 other locations
55,Equitas Small Finance Bank,4.4,Banking, Navi Mumbai ,472 other locations
56,EXL Service,3.6,Analytics & KPO, Navi Mumbai ,63 other locations
57,Cipla,4.1,Pharma, Navi Mumbai ,290 other locations
58,Samsung,3.9,Consumer Electronics & Appliances, Navi Mumbai ,579 other locations
59,Ericsson,4.0,Telecom, Navi Mumbai ,162 other locations
60,Wells Fargo,3.7,Financial Services, Navi Mumbai ,28 other locations
61,Dr. Reddy's,4.0,Pharma, Navi Mumbai ,213 other locations
62,Optum Global Solutions,4.0,IT Services & Consulting, Navi Mumbai ,68 other locations
63,Delhivery,3.8,Logistics, Navi Mumbai ,746 other locations
64,ICICI Prudential Life Insurance,4.0,Insurance, Navi Mumbai ,504 other locations
65,JPMorgan Chase & Co.,3.8,Financial Services, Navi Mumbai ,55 other locations
