,company_name,ratings,company_type,location,other_loc
0,TCS,3.3,IT Services & Consulting, New Delhi ,437 other locations
1,Accenture,3.7,IT Services & Consulting, New Delhi ,255 other locations
2,Wipro,3.6,IT Services & Consulting, New Delhi ,370 other locations
3,Cognizant,3.6,IT Services & Consulting, New Delhi ,229 other locations
4,Capgemini,3.7,IT Services & Consulting, New Delhi ,183 other locations
5,HDFC Bank,3.8,Banking, New Delhi ,1817 other locations
6,Infosys,3.5,IT Services & Consulting, New Delhi ,245 other locations
7,ICICI Bank,4.0,Banking, New Delhi ,1436 other locations
8,HCLTech,3.4,IT Services & Consulting, New Delhi ,226 other locations
9,Tech Mahindra,3.4,IT Services & Consulting, New Delhi ,336 other locations
10,Genpact,3.6,IT Services & Consulting, New Delhi ,182 other locations
11,Teleperformance,3.8,BPO, New Delhi ,254 other locations
12,Axis Bank,3.6,Banking, New Delhi ,1497 other locations
13,Jio,4.3,Telecom, New Delhi ,1861 other locations
14,Concentrix Corporation,3.6,BPO, New Delhi ,178 other locations
15,Amazon,3.9,Internet, New Delhi ,521 other locations
16,iEnergizer,4.6,BPO, New Delhi ,51 other locations
17,Reliance Retail,3.9,Retail, New Delhi ,1149 other locations
18,LTIMindtree,3.6,IT Services & Consulting, New Delhi ,146 other locations
19,IBM,3.9,IT Services & Consulting, New Delhi ,160 other locations
20,HDB Financial Services,3.9,NBFC, New Delhi ,1085 other locations
21,Larsen & Toubro Limited,3.9,Engineering & Construction, New Delhi ,753 other locations
22,Deloitte,3.7,Management Consulting, New Delhi ,187 other locations
23,Kotak Mahindra Bank,3.6,Banking, New Delhi ,681 other locations
24,Reliance Industries,4.0,Oil & Gas, New Delhi ,812 other locations
25,Vodafone Idea,3.9,Telecom, New Delhi ,700 other locations
26,Bharti Airtel,3.8,Telecom, New Delhi ,788 other locations
27,BYJU'S,3.2,EdTech, New Delhi ,322 other locations
28,WNS,3.3,IT Services & Consulting, New Delhi ,65 other locations
29,Tata Motors,4.1,Automobile, New Delhi ,507 other locations
30,IDFC FIRST Bank,3.9,Banking, New Delhi ,710 other locations
31,Ernst & Young,3.4,Management Consulting, New Delhi ,131 other locations
32,AU Small Finance Bank,3.9,Banking, New Delhi ,778 other locations
33,IndusInd Bank,3.4,Banking, New Delhi ,788 other locations
34,Flipkart,3.9,Internet, New Delhi ,559 other locations
35,Bajaj Finserv,3.9,NBFC, New Delhi ,1160 other locations
36,Muthoot FinCorp,4.5,NBFC, New Delhi ,1086 other locations
37,PwC,3.3,Management Consulting, New Delhi ,132 other locations
38,Mahindra & Mahindra,4.0,Automobile, New Delhi ,558 other locations
39,DXC Technology,3.6,IT Services & Consulting, New Delhi ,133 other locations
40,Infosys BPM,3.5,BPO, New Delhi ,95 other locations
41,HDFC Life,3.9,Insurance, New Delhi ,695 other locations
42,Bandhan Bank,3.7,Banking, New Delhi ,991 other locations
43,Conneqt Business Solutions,3.6,BPO, New Delhi ,264 other locations
44,Mphasis,3.3,IT Services & Consulting, New Delhi ,63 other locations
45,Yes Bank,3.7,Banking, New Delhi ,540 other locations
46,Tata Steel,4.0,Iron & Steel, New Delhi ,226 other locations
47,Quess,3.8,Recruitment, New Delhi ,739 other locations
48,Startek,3.1,BPO, New Delhi ,107 other locations
49,Asian Paints,3.9,Chemicals, New Delhi ,547 other locations
50,UltraTech Cement,4.1,Building Material, New Delhi ,532 other locations
51,Paytm,3.2,FinTech, New Delhi ,416 other locations
52,Shriram Finance,4.0,NBFC, New Delhi ,1104 other locations
53,Maruti Suzuki,4.2,Automobile, New Delhi ,445 other locations
54,Bajaj Finance,3.9,NBFC, New Delhi ,958 other locations
55,Sutherland Global Services,3.4,BPO, New Delhi ,81 other locations
56,Equitas Small Finance Bank,4.4,Banking, New Delhi ,472 other locations
57,EXL Service,3.6,Analytics & KPO, New Delhi ,63 other locations
58,Cipla,4.1,Pharma, New Delhi ,290 other locations
59,Samsung,3.9,Consumer Electronics & Appliances, New Delhi ,577 other locations
60,Ericsson,3.9,Telecom, New Delhi ,162 other locations
61,Wells Fargo,3.7,Financial Services, New Delhi ,28 other locations
62,Dr. Reddy's,4.0,Pharma, New Delhi ,213 other locations
63,Optum Global Solutions,4.0,IT Services & Consulting, New Delhi ,68 other locations
64,Delhivery,3.8,Logistics, New Delhi ,745 other locations
65,ICICI Prudential Life Insurance,4.0,Insurance, New Delhi ,504 other locations
66,HGS,3.8,BPO, New Delhi ,121 other locations
67,JPMorgan Chase & Co.,3.8,Financial Services, New Delhi ,55 other locations
68,JSW Steel,3.9,Iron & Steel, New Delhi ,194 other locations
69,Jana Small Finance Bank,3.8,Banking, New Delhi ,418 other locations
70,Sun Pharmaceutical Industries,4.1,Pharma, New Delhi ,263 other locations
71,Amazon Development Centre India,3.8,Internet, New Delhi ,146 other locations
72,Hexaware Technologies,3.4,IT Services & Consulting, New Delhi ,66 other locations
73,Lupin,4.1,Pharma, New Delhi ,202 other locations
74,L&T Construction,4.0,Engineering & Construction, New Delhi ,428 other locations
75,Zydus Lifesciences,3.9,Pharma, New Delhi ,175 other locations
76,Hindustan Unilever,4.2,FMCG, New Delhi ,529 other locations
77,Ekart Logistics,3.9,Logistics, New Delhi ,737 other locations
78,KPMG India,3.4,Management Consulting, New Delhi ,111 other locations
79,ITC,3.9,FMCG, New Delhi ,374 other locations
80,Ujjivan Small Finance Bank,4.0,Banking, New Delhi ,526 other locations
81,Axis Max Life Insurance,4.0,Insurance, New Delhi ,494 other locations
82,Megha Engineering & Infrastructures,3.9,Engineering & Construction, New Delhi ,404 other locations
83,Tata Projects,4.2,Engineering & Construction, New Delhi ,284 other locations
84,Coforge,3.2,IT Services & Consulting, New Delhi ,104 other locations
85,FIS,3.8,FinTech, New Delhi ,61 other locations
86,Bajaj Life Insurance,3.9,Insurance, New Delhi ,603 other locations
87,L&T Technology Services,3.1,IT Services & Consulting, New Delhi ,93 other locations
88,Cholamandalam Investment & Finance,3.8,Financial Services, New Delhi ,829 other locations
89,IIFL Finance,4.0,NBFC, New Delhi ,800 other locations
90,Oracle,3.5,Software Product, New Delhi ,56 other locations
91,Indian Army,4.7,Defence & Aerospace, New Delhi ,362 other locations
92,Omega Healthcare,3.8,BPO, New Delhi ,69 other locations
93,Muthoot Finance,3.7,NBFC, New Delhi ,781 other locations
94,JLL,4.1,Real Estate, New Delhi ,85 other locations
95,HCL Group,3.5,IT Services & Consulting, New Delhi ,97 other locations
96,eClerx,3.1,IT Services & Consulting, New Delhi ,32 other locations
97,Virtusa Consulting Services,3.7,IT Services & Consulting, New Delhi ,55 other locations
98,Piramal Finance,4.2,NBFC, New Delhi ,419 other locations
99,DMart,3.9,Retail, New Delhi ,246 other locations
100,HSBC Group,3.9,Financial Services, New Delhi ,63 other locations
101,Udaan,3.9,Internet, New Delhi ,371 other locations
102,Indiamart Intermesh,3.5,Internet, New Delhi ,171 other locations
103,SMFG India Credit,3.9,NBFC, New Delhi ,590 other locations
104,Aurobindo Pharma,4.0,Pharma, New Delhi ,115 other locations
105,Siemens,3.9,Industrial Automation, New Delhi ,153 other locations
106,CGI Group,4.0,IT Services & Consulting, New Delhi ,43 other locations
107,BigBasket,3.9,Internet, New Delhi ,139 other locations
108,Manappuram Finance,3.9,NBFC, New Delhi ,645 other locations
109,Access Healthcare,3.7,BPO, New Delhi ,63 other locations
110,Shapoorji Pallonji Group,4.1,Engineering & Construction, New Delhi ,188 other locations
111,Firstsource Solutions,3.5,BPO, New Delhi ,73 other locations
112,GlobalLogic,3.5,IT Services & Consulting, New Delhi ,60 other locations
113,ICICI Lombard General Insurance Company,3.5,Insurance, New Delhi ,311 other locations
114,Tata Capital,4.0,NBFC, New Delhi ,434 other locations
115,Standard Chartered,3.6,Banking, New Delhi ,68 other locations
116,Mahindra Finance,3.9,NBFC, New Delhi ,728 other locations
117,Apollo Hospitals,4.1,Healthcare, New Delhi ,229 other locations
118,Bosch Global Software Technologies,3.7,IT Services & Consulting, New Delhi ,47 other locations
119,PolicyBazaar,3.7,Internet, New Delhi ,149 other locations
120,UST,3.7,IT Services & Consulting, New Delhi ,50 other locations
121,Ashok Leyland,4.0,Automobile, New Delhi ,254 other locations
122,Citicorp,3.7,Financial Services, New Delhi ,68 other locations
123,Swiggy,3.7,Internet, New Delhi ,228 other locations
124,Hero MotoCorp,4.1,Automobile, New Delhi ,364 other locations
125,Cyient,3.6,IT Services & Consulting, New Delhi ,48 other locations
126,SBI Cards & Payment Services,3.7,Financial Services, New Delhi ,433 other locations
127,Kalpataru Projects International,4.2,Engineering & Construction, New Delhi ,319 other locations
128,JustDial,3.5,Internet, New Delhi ,228 other locations
129,BNY,3.7,Financial Services, New Delhi ,25 other locations
130,IQVIA,3.7,Clinical Research, New Delhi ,62 other locations
131,CBRE,4.1,Real Estate, New Delhi ,91 other locations
132,SBI Life Insurance Company,3.7,Insurance, New Delhi ,651 other locations
133,TVS Motor,3.9,Automobile, New Delhi ,349 other locations
134,NTT Data,3.8,IT Services & Consulting, New Delhi ,79 other locations
135,Nagarjuna Construction Company,4.0,Engineering & Construction, New Delhi ,294 other locations
136,Schneider Electric,4.1,Industrial Automation, New Delhi ,120 other locations
137,Persistent Systems,3.6,IT Services & Consulting, New Delhi ,42 other locations
138,vivo,4.1,Consumer Electronics & Appliances, New Delhi ,413 other locations
139,State Bank of India,3.8,Banking, New Delhi ,618 other locations
140,Atos,3.8,IT Services & Consulting, New Delhi ,49 other locations
141,Ecom Express,4.0,Logistics, New Delhi ,775 other locations
142,Eviden,3.6,IT Services & Consulting, New Delhi ,39 other locations
143,KEC International,4.0,Engineering & Construction, New Delhi ,312 other locations
144,Amdocs,3.6,Software Product, New Delhi ,23 other locations
145,Nagarro,3.9,IT Services & Consulting, New Delhi ,49 other locations
146,JBM Group,3.9,Auto Components, New Delhi ,116 other locations
147,Varun Beverages,4.0,Beverage, New Delhi ,378 other locations
148,Home Credit Finance,4.0,NBFC, New Delhi ,136 other locations
149,Bosch,4.1,Auto Components, New Delhi ,127 other locations
150,ITC Infotech,3.7,IT Services & Consulting, New Delhi ,66 other locations
151,EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting, New Delhi ,56 other locations
152,Hewlett Packard Enterprise,4.1,IT Services & Consulting, New Delhi ,103 other locations
153,Mahindra Logistics,3.7,Logistics, New Delhi ,233 other locations
154,L&T Finance,3.9,NBFC, New Delhi ,627 other locations
155,Aditya Birla Fashion and Retail,4.1,Fashion & Textile, New Delhi ,290 other locations
156,OPPO,3.9,Consumer Electronics & Appliances, New Delhi ,409 other locations
157,Utkarsh Small Finance Bank,3.6,Banking, New Delhi ,406 other locations
158,Randstad,3.7,Recruitment, New Delhi ,350 other locations
159,Dell,3.8,Consumer Electronics & Appliances, New Delhi ,117 other locations
160,CARS24,3.4,Internet, New Delhi ,173 other locations
161,Havells,3.9,Electrical Equipment, New Delhi ,258 other locations
162,R1 RCM,3.8,BPO, New Delhi ,47 other locations
163,Intas Pharmaceuticals,4.1,Pharma, New Delhi ,148 other locations
164,Tata AIA Life Insurance,3.9,Insurance, New Delhi ,440 other locations
165,Hyundai Motor India Limited,4.1,Automobile, New Delhi ,287 other locations
166,Deutsche Bank,3.8,Banking, New Delhi ,42 other locations
167,Hetero,3.9,Pharma, New Delhi ,67 other locations
168,Motilal Oswal Financial Services,3.7,Financial Services, New Delhi ,167 other locations
169,Team Lease,3.9,Recruitment, New Delhi ,394 other locations
170,Berger Paints,3.7,Chemicals, New Delhi ,352 other locations
171,Lenskart,3.3,Internet, New Delhi ,239 other locations
172,Thermax Limited,4.2,Industrial Machinery, New Delhi ,245 other locations
173,Bajaj Auto,3.8,Automobile, New Delhi ,317 other locations
174,Aakash Educational Services,3.2,Education & Training, New Delhi ,243 other locations
175,Kogta Financial India Limited,4.7,NBFC, New Delhi ,259 other locations
176,Macleods Pharmaceuticals,3.7,Pharma, New Delhi ,131 other locations
177,LG Electronics,3.9,Consumer Electronics & Appliances, New Delhi ,297 other locations
178,Jubilant Foods Works,3.7,Hospitality, New Delhi ,261 other locations
179,VE Commercial Vehicles,3.9,Automobile, New Delhi ,157 other locations
180,Royal Enfield,4.2,Automobile, New Delhi ,375 other locations
181,Jindal Steel Limited,3.9,Iron & Steel, New Delhi ,172 other locations
182,John Deere,4.0,Industrial Machinery, New Delhi ,155 other locations
183,Tata Communications,3.9,Telecom, New Delhi ,102 other locations
184,Hindalco Industries,4.2,Metals & Mining, New Delhi ,127 other locations
185,DCB Bank,3.8,Banking, New Delhi ,339 other locations
186,HDFC Ergo General Insurance,3.9,Insurance, New Delhi ,320 other locations
187,State Street Corporation,3.5,Financial Services, New Delhi ,34 other locations
188,RBL Bank,3.5,Banking, New Delhi ,285 other locations
189,Cummins,4.3,Industrial Machinery, New Delhi ,113 other locations
190,Oyo Rooms,3.1,Internet, New Delhi ,120 other locations
191,Alembic Pharmaceuticals,3.9,Pharma, New Delhi ,187 other locations
192,Pidilite Industries,4.2,Chemicals, New Delhi ,310 other locations
193,Reliance Communications,4.0,Telecom, New Delhi ,465 other locations
194,Bank of America,4.1,Banking, New Delhi ,35 other locations
195,Carelon Global Solutions,3.9,IT Services & Consulting, New Delhi ,21 other locations
196,Publicis Sapient,3.4,IT Services & Consulting, New Delhi ,48 other locations
197,Subros,3.8,Auto Components, New Delhi ,87 other locations
198,PVR INOX,3.9,Media & Entertainment, New Delhi ,150 other locations
199,XpressBees,4.2,Logistics, New Delhi ,473 other locations
200,American Express,4.1,Financial Services, New Delhi ,53 other locations
201,Viatris,4.1,Pharma, New Delhi ,81 other locations
202,Automatic Data Processing (ADP),3.9,Software Product, New Delhi ,40 other locations
203,Kyndryl,3.9,IT Services & Consulting, New Delhi ,37 other locations
204,Sodexo,4.0,Facility Management Services, New Delhi ,155 other locations
205,PNB MetLife,3.4,Insurance, New Delhi ,421 other locations
206,Escorts Kubota Limited,4.1,Automobile, New Delhi ,154 other locations
207,Aditya Birla Sun Life Insurance,4.0,Insurance, New Delhi ,489 other locations
208,Grasim Industries,4.0,Building Material, New Delhi ,238 other locations
209,Maersk,4.0,Logistics, New Delhi ,49 other locations
210,Birlasoft,3.5,IT Services & Consulting, New Delhi ,50 other locations
211,Synechron,3.5,IT Services & Consulting, New Delhi ,32 other locations
212,Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances, New Delhi ,165 other locations
213,Glenmark Pharmaceuticals,3.8,Pharma, New Delhi ,181 other locations
214,Cogent E Services,3.2,BPO, New Delhi ,55 other locations
215,Samvardhana Motherson Group,3.7,Auto Components, New Delhi ,93 other locations
216,Dabur,3.8,FMCG, New Delhi ,318 other locations
217,JK Cement,4.0,Building Material, New Delhi ,325 other locations
218,Bharat Electronics,4.2,Electronics Manufacturing, New Delhi ,88 other locations
219,Kotak Mahindara Life Insurance,3.5,Insurance, New Delhi ,256 other locations
220,KPIT Technologies,3.0,Software Product, New Delhi ,44 other locations
221,Abbott,4.1,Pharma, New Delhi ,211 other locations
222,Altruist Technologies,4.4,BPO, New Delhi ,44 other locations
223,Aarti Industries,4.0,Agro Chemicals, New Delhi ,58 other locations
224,Ipca Laboratories,3.9,Pharma, New Delhi ,160 other locations
225,Reliance Projects & Property Management Services,4.0,IT Services & Consulting, New Delhi ,615 other locations
226,Indian Oil Corporation,4.3,Oil & Gas, New Delhi ,308 other locations
227,MRF Tyres,3.6,Auto Components, New Delhi ,192 other locations
228,Alkem Laboratories,3.9,Pharma, New Delhi ,196 other locations
229,Reliance Digital,4.2,Retail, New Delhi ,377 other locations
230,Johnson Controls,3.5,Industrial Automation, New Delhi ,57 other locations
231,IGT Solutions,3.2,BPO, New Delhi ,47 other locations
232,Honda Motorcycle & Scooter,4.1,Automobile, New Delhi ,296 other locations
233,PhonePe,4.1,FinTech, New Delhi ,390 other locations
234,Vishal Mega Mart,3.7,Retail, New Delhi ,376 other locations
235,UNO Minda,4.0,Auto Components, New Delhi ,109 other locations
236,Hindustan Coca Cola Beverages,4.0,Beverage, New Delhi ,255 other locations
237,Ford Motor,4.2,Automobile, New Delhi ,130 other locations
238,ArcelorMittal Nippon Steel,4.1,Iron & Steel, New Delhi ,86 other locations
239,UBS,3.9,Financial Services, New Delhi ,19 other locations
240,24/7 Customer,3.4,Software Product, New Delhi ,36 other locations
241,DTDC Express,3.7,Logistics, New Delhi ,268 other locations
242,Reliance Nippon Life Insurance,3.4,Insurance, New Delhi ,482 other locations
243,Ceat Tyres,3.9,Auto Components, New Delhi ,141 other locations
244,RSPL Group,4.0,FMCG, New Delhi ,255 other locations
245,ABB,4.1,Industrial Machinery, New Delhi ,105 other locations
246,HARMAN,3.8,Consumer Electronics & Appliances, New Delhi ,42 other locations
247,Cloudnine Hospital,4.4,Healthcare, New Delhi ,46 other locations
248,Indian Air Force,4.5,Defence & Aerospace, New Delhi ,136 other locations
249,Barclays,3.7,Banking, New Delhi ,36 other locations
250,AGS Health,4.0,Analytics & KPO, New Delhi ,59 other locations
251,NatWest Group,4.0,Banking, New Delhi ,29 other locations
252,Blinkit,3.7,Internet, New Delhi ,142 other locations
253,InterGlobe Aviation,3.5,Aviation, New Delhi ,103 other locations
254,TVS Credit Services Ltd,4.2,NBFC, New Delhi ,423 other locations
255,Conduent,3.4,BPO, New Delhi ,35 other locations
256,Alstom Transportation,3.7,Engineering & Construction, New Delhi ,80 other locations
257,Marpu Foundation,4.9,Non-Profit, New Delhi ,62 other locations
258,GeBBS Healthcare Solutions,3.7,BPO, New Delhi ,26 other locations
259,Tata Technologies,3.5,Engineering & Construction, New Delhi ,55 other locations
260,Croma,3.8,Retail, New Delhi ,189 other locations
261,Tata AIG,4.0,Insurance, New Delhi ,260 other locations
262,Max Healthcare,3.9,Healthcare, New Delhi ,78 other locations
263,UPL,4.1,Agro Chemicals, New Delhi ,185 other locations
264,PepsiCo,4.0,Food Processing, New Delhi ,275 other locations
265,Titan Company,4.2,Retail, New Delhi ,183 other locations
266,Amazon Transportation Services,4.2,Logistics, New Delhi ,227 other locations
267,Bajaj General Insurance Limited,3.8,Insurance, New Delhi ,273 other locations
268,Dilip Buildcon,3.9,Engineering & Construction, New Delhi ,226 other locations
269,Walmart,3.5,Retail, New Delhi ,93 other locations
270,Mankind Pharma,3.8,Pharma, New Delhi ,247 other locations
271,Future Group,4.2,Retail, New Delhi ,207 other locations
272,Varroc Group,3.6,Auto Components, New Delhi ,61 other locations
273,S&P Global,4.0,Analytics & KPO, New Delhi ,47 other locations
274,MSN Laboratories,3.6,Pharma, New Delhi ,104 other locations
275,Afcons Infrastructure,4.2,Engineering & Construction, New Delhi ,121 other locations
276,Jindal Stainless,4.1,Iron & Steel, New Delhi ,76 other locations
277,Societe Generale Global Solution Centre,3.6,IT Services & Consulting, New Delhi ,24 other locations
278,Torrent Pharmaceuticals,4.0,Pharma, New Delhi ,128 other locations
279,Quest Global,3.5,IT Services & Consulting, New Delhi ,47 other locations
280,CMS IT Services,3.1,IT Services & Consulting, New Delhi ,152 other locations
281,Square Yards,3.6,Internet, New Delhi ,51 other locations
282,ACC,3.9,Building Material, New Delhi ,272 other locations
283,I Process Services,3.8,Recruitment, New Delhi ,404 other locations
284,HDFC Sales,3.9,Financial Services, New Delhi ,345 other locations
285,IDFC FIRST Bharat,4.2,Financial Services, New Delhi ,420 other locations
286,Zensar Technologies,3.7,IT Services & Consulting, New Delhi ,28 other locations
287,Shoppers Stop,4.0,Retail, New Delhi ,83 other locations
288,DS Group,4.1,FMCG, New Delhi ,280 other locations
289,Niva Bupa Health Insurance Company,3.9,Insurance, New Delhi ,295 other locations
290,Suzlon Group,4.0,Power, New Delhi ,142 other locations
291,ESAF Small Finance Bank,3.6,Banking, New Delhi ,436 other locations
292,Fujitsu,3.8,IT Services & Consulting, New Delhi ,41 other locations
293,Tata Elxsi,3.5,IT Services & Consulting, New Delhi ,30 other locations
294,Eternal Limited,3.6,Internet, New Delhi ,218 other locations
295,Apollo Tyres,4.0,Auto Components, New Delhi ,181 other locations
296,Nokia,4.0,Telecom, New Delhi ,166 other locations
297,VVDN Technologies,3.6,IT Services & Consulting, New Delhi ,49 other locations
298,Ola Electric Mobility,3.3,Automobile, New Delhi ,415 other locations
299,Indus Towers,3.6,Telecom, New Delhi ,237 other locations
300,Yazaki,3.9,Auto Components, New Delhi ,93 other locations
301,IKS Health,3.5,Healthcare, New Delhi ,31 other locations
302,UnitedHealth,4.0,Healthcare, New Delhi ,17 other locations
303,Fiserv,2.9,FinTech, New Delhi ,32 other locations
304,Bharat Financial Inclusion,3.7,Financial Services, New Delhi ,489 other locations
305,Landmark Group,3.8,Retail, New Delhi ,172 other locations
306,Shree Cement,3.8,Building Material, New Delhi ,255 other locations
307,Britannia,4.0,FMCG, New Delhi ,296 other locations
308,SRF,4.1,Chemicals, New Delhi ,67 other locations
309,Blue Dart Express Ltd,3.9,Logistics, New Delhi ,278 other locations
310,Whitehat jr,3.3,EdTech, New Delhi ,49 other locations
311,Kansai Nerolac Paints,3.8,Chemicals, New Delhi ,252 other locations
312,Exide Industries,3.4,Auto Components, New Delhi ,198 other locations
313,Shell,3.9,Oil & Gas, New Delhi ,90 other locations
314,Flex,3.9,Electronics Manufacturing, New Delhi ,46 other locations
315,Capita,3.5,BPO, New Delhi ,32 other locations
316,Dalmia Bharat Cement,3.9,Building Material, New Delhi ,249 other locations
317,ElasticRun,3.6,Logistics, New Delhi ,390 other locations
318,Micro Labs,3.6,Pharma, New Delhi ,150 other locations
319,Nestlé,3.8,FMCG, New Delhi ,278 other locations
320,TVS Supply Chain Solutions,3.8,Logistics, New Delhi ,152 other locations
321,Zepto,3.5,Internet, New Delhi ,100 other locations
322,KFintech,3.4,Financial Services, New Delhi ,113 other locations
323,KPMG Global Services,3.5,Management Consulting, New Delhi ,37 other locations
324,G4S,4.0,Law Enforcement & Security, New Delhi ,162 other locations
325,ZS,3.1,Management Consulting, New Delhi ,16 other locations
326,Voltas,4.0,Consumer Electronics & Appliances, New Delhi ,204 other locations
327,Star Health & Allied Insurance,3.5,Insurance, New Delhi ,325 other locations
