,company name,ratings,company_type,location,other_loc
0,TCS,3.3,IT Services & Consulting, Noida ,438 other locations
1,Accenture,3.7,IT Services & Consulting, Noida ,254 other locations
2,Wipro,3.6,IT Services & Consulting, Noida ,369 other locations
3,Cognizant,3.6,IT Services & Consulting, Noida ,228 other locations
4,Capgemini,3.7,IT Services & Consulting, Noida ,184 other locations
5,HDFC Bank,3.8,Banking, Noida ,1819 other locations
6,Infosys,3.5,IT Services & Consulting, Noida ,246 other locations
7,ICICI Bank,4.0,Banking, Noida ,1436 other locations
8,HCLTech,3.4,IT Services & Consulting, Noida ,226 other locations
9,Tech Mahindra,3.4,IT Services & Consulting, Noida ,331 other locations
10,Genpact,3.6,IT Services & Consulting, Noida ,182 other locations
11,Teleperformance,3.8,BPO, Noida ,253 other locations
12,Axis Bank,3.6,Banking, Noida ,1499 other locations
13,Jio,4.4,Telecom, Noida ,1882 other locations
14,Concentrix Corporation,3.6,BPO, Noida ,179 other locations
15,Amazon,3.9,Internet, Noida ,518 other locations
16,iEnergizer,4.6,BPO, Noida ,51 other locations
17,Reliance Retail,3.9,Retail, Noida ,1150 other locations
18,LTIMindtree,3.6,IT Services & Consulting, Noida ,146 other locations
19,IBM,3.9,IT Services & Consulting, Noida ,160 other locations
20,HDB Financial Services,3.9,NBFC, Noida ,1089 other locations
21,Larsen & Toubro Limited,3.9,Engineering & Construction, Noida ,754 other locations
22,Deloitte,3.7,Management Consulting, Noida ,187 other locations
23,Kotak Mahindra Bank,3.6,Banking, Noida ,681 other locations
24,Reliance Industries,4.0,Oil & Gas, Noida ,812 other locations
25,Vodafone Idea,3.9,Telecom, Noida ,703 other locations
26,Bharti Airtel,3.8,Telecom, Noida ,789 other locations
27,BYJU'S,3.2,EdTech, Noida ,321 other locations
28,WNS,3.3,IT Services & Consulting, Noida ,65 other locations
29,Tata Motors,4.1,Automobile, Noida ,505 other locations
30,IDFC FIRST Bank,3.9,Banking, Noida ,710 other locations
31,Ernst & Young,3.4,Management Consulting, Noida ,131 other locations
32,IndusInd Bank,3.4,Banking, Noida ,786 other locations
33,AU Small Finance Bank,3.9,Banking, Noida ,782 other locations
34,Flipkart,3.9,Internet, Noida ,559 other locations
35,Bajaj Finserv,3.9,NBFC, Noida ,1160 other locations
36,Muthoot FinCorp,4.5,NBFC, Noida ,1087 other locations
37,PwC,3.3,Management Consulting, Noida ,132 other locations
38,Infosys BPM,3.5,BPO, Noida ,95 other locations
39,Mahindra & Mahindra,4.0,Automobile, Noida ,561 other locations
40,DXC Technology,3.6,IT Services & Consulting, Noida ,133 other locations
41,HDFC Life,3.9,Insurance, Noida ,697 other locations
42,Bandhan Bank,3.7,Banking, Noida ,995 other locations
43,Conneqt Business Solutions,3.6,BPO, Noida ,267 other locations
44,Mphasis,3.3,IT Services & Consulting, Noida ,63 other locations
45,Yes Bank,3.7,Banking, Noida ,540 other locations
46,Tata Steel,4.0,Iron & Steel, Noida ,228 other locations
47,Quess,3.8,Recruitment, Noida ,739 other locations
48,Startek,3.1,BPO, Noida ,107 other locations
49,Asian Paints,3.9,Chemicals, Noida ,547 other locations
50,UltraTech Cement,4.1,Building Material, Noida ,534 other locations
51,Paytm,3.2,FinTech, Noida ,417 other locations
52,Shriram Finance,4.0,NBFC, Noida ,1109 other locations
53,Bajaj Finance,3.9,NBFC, Noida ,965 other locations
54,Maruti Suzuki,4.2,Automobile, Noida ,446 other locations
55,Equitas Small Finance Bank,4.4,Banking, Noida ,479 other locations
56,Sutherland Global Services,3.4,BPO, Noida ,82 other locations
57,EXL Service,3.6,Analytics & KPO, Noida ,63 other locations
58,Cipla,4.1,Pharma, Noida ,291 other locations
59,Samsung,3.9,Consumer Electronics & Appliances, Noida ,577 other locations
60,Ericsson,3.9,Telecom, Noida ,162 other locations
61,Wells Fargo,3.7,Financial Services, Noida ,28 other locations
62,Dr. Reddy's,4.0,Pharma, Noida ,213 other locations
63,Optum Global Solutions,4.0,IT Services & Consulting, Noida ,68 other locations
64,Delhivery,3.8,Logistics, Noida ,750 other locations
65,ICICI Prudential Life Insurance,4.0,Insurance, Noida ,505 other locations
66,JPMorgan Chase & Co.,3.8,Financial Services, Noida ,55 other locations
67,JSW Steel,3.9,Iron & Steel, Noida ,193 other locations
68,HGS,3.7,BPO, Noida ,121 other locations
69,Jana Small Finance Bank,3.8,Banking, Noida ,419 other locations
70,Sun Pharmaceutical Industries,4.1,Pharma, Noida ,263 other locations
71,Amazon Development Centre India,3.8,Internet, Noida ,146 other locations
72,Ujjivan Small Finance Bank,4.0,Banking, Noida ,532 other locations
73,Hexaware Technologies,3.4,IT Services & Consulting, Noida ,66 other locations
74,Lupin,4.1,Pharma, Noida ,202 other locations
75,Zydus Lifesciences,3.9,Pharma, Noida ,176 other locations
76,L&T Construction,4.0,Engineering & Construction, Noida ,432 other locations
77,Ekart Logistics,3.9,Logistics, Noida ,736 other locations
78,Hindustan Unilever,4.2,FMCG, Noida ,530 other locations
79,KPMG India,3.4,Management Consulting, Noida ,111 other locations
80,ITC,3.9,FMCG, Noida ,375 other locations
81,Axis Max Life Insurance,4.0,Insurance, Noida ,494 other locations
82,Megha Engineering & Infrastructures,3.9,Engineering & Construction, Noida ,405 other locations
83,Tata Projects,4.2,Engineering & Construction, Noida ,284 other locations
84,Coforge,3.2,IT Services & Consulting, Noida ,104 other locations
85,FIS,3.8,FinTech, Noida ,61 other locations
86,Bajaj Life Insurance,3.9,Insurance, Noida ,606 other locations
87,L&T Technology Services,3.1,IT Services & Consulting, Noida ,93 other locations
88,Cholamandalam Investment & Finance,3.8,Financial Services, Noida ,840 other locations
89,IIFL Finance,4.0,NBFC, Noida ,800 other locations
90,Oracle,3.5,Software Product, Noida ,56 other locations
91,Muthoot Finance,3.7,NBFC, Noida ,784 other locations
92,Indian Army,4.7,Defence & Aerospace, Noida ,364 other locations
93,JLL,4.1,Real Estate, Noida ,85 other locations
94,HCL Group,3.5,IT Services & Consulting, Noida ,97 other locations
95,eClerx,3.1,IT Services & Consulting, Noida ,32 other locations
96,Piramal Finance,4.2,NBFC, Noida ,424 other locations
97,Virtusa Consulting Services,3.7,IT Services & Consulting, Noida ,55 other locations
98,DMart,3.9,Retail, Noida ,246 other locations
99,HSBC Group,3.9,Financial Services, Noida ,63 other locations
100,Indiamart Intermesh,3.5,Internet, Noida ,172 other locations
101,Udaan,3.9,Internet, Noida ,368 other locations
102,SMFG India Credit,3.9,NBFC, Noida ,592 other locations
103,Access Healthcare,3.7,BPO, Noida ,64 other locations
104,Siemens,3.9,Industrial Automation, Noida ,152 other locations
105,BigBasket,3.9,Internet, Noida ,138 other locations
106,Manappuram Finance,3.9,NBFC, Noida ,647 other locations
107,Shapoorji Pallonji Group,4.1,Engineering & Construction, Noida ,188 other locations
108,Firstsource Solutions,3.5,BPO, Noida ,73 other locations
109,Tata Capital,4.0,NBFC, Noida ,438 other locations
110,GlobalLogic,3.5,IT Services & Consulting, Noida ,60 other locations
111,ICICI Lombard General Insurance Company,3.5,Insurance, Noida ,311 other locations
112,Standard Chartered,3.6,Banking, Noida ,68 other locations
113,Mahindra Finance,3.9,NBFC, Noida ,730 other locations
114,Apollo Hospitals,4.1,Healthcare, Noida ,229 other locations
115,PolicyBazaar,3.7,Internet, Noida ,149 other locations
116,Bosch Global Software Technologies,3.7,IT Services & Consulting, Noida ,47 other locations
117,UST,3.7,IT Services & Consulting, Noida ,50 other locations
118,Ashok Leyland,4.0,Automobile, Noida ,255 other locations
119,Citicorp,3.7,Financial Services, Noida ,68 other locations
120,Swiggy,3.7,Internet, Noida ,228 other locations
121,Hero MotoCorp,4.1,Automobile, Noida ,364 other locations
122,Cyient,3.6,IT Services & Consulting, Noida ,48 other locations
123,CGI Group,4.0,IT Services & Consulting, Noida ,43 other locations
124,SBI Cards & Payment Services,3.6,Financial Services, Noida ,435 other locations
125,Kalpataru Projects International,4.2,Engineering & Construction, Noida ,321 other locations
126,JustDial,3.5,Internet, Noida ,229 other locations
127,BNY,3.7,Financial Services, Noida ,25 other locations
128,IQVIA,3.7,Clinical Research, Noida ,63 other locations
129,NTT Data,3.8,IT Services & Consulting, Noida ,79 other locations
130,SBI Life Insurance Company,3.7,Insurance, Noida ,654 other locations
131,Nagarjuna Construction Company,4.0,Engineering & Construction, Noida ,295 other locations
132,CBRE,4.1,Real Estate, Noida ,91 other locations
133,TVS Motor,3.9,Automobile, Noida ,349 other locations
134,Schneider Electric,4.2,Industrial Automation, Noida ,119 other locations
135,Persistent Systems,3.6,IT Services & Consulting, Noida ,41 other locations
136,Atos,3.8,IT Services & Consulting, Noida ,49 other locations
137,vivo,4.1,Consumer Electronics & Appliances, Noida ,414 other locations
138,State Bank of India,3.8,Banking, Noida ,617 other locations
139,Ecom Express,4.0,Logistics, Noida ,774 other locations
140,Eviden,3.6,IT Services & Consulting, Noida ,39 other locations
141,KEC International,4.0,Engineering & Construction, Noida ,312 other locations
142,Amdocs,3.6,Software Product, Noida ,23 other locations
143,JBM Group,3.9,Auto Components, Noida ,116 other locations
144,Nagarro,3.9,IT Services & Consulting, Noida ,49 other locations
145,Varun Beverages,4.0,Beverage, Noida ,379 other locations
146,ITC Infotech,3.7,IT Services & Consulting, Noida ,67 other locations
147,Home Credit Finance,4.0,NBFC, Noida ,136 other locations
148,Bosch,4.1,Auto Components, Noida ,130 other locations
149,Randstad,3.7,Recruitment, Noida ,352 other locations
150,EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting, Noida ,56 other locations
151,Hewlett Packard Enterprise,4.1,IT Services & Consulting, Noida ,103 other locations
152,Mahindra Logistics,3.7,Logistics, Noida ,233 other locations
153,Utkarsh Small Finance Bank,3.6,Banking, Noida ,407 other locations
154,L&T Finance,3.9,NBFC, Noida ,632 other locations
155,Aditya Birla Fashion and Retail,4.1,Fashion & Textile, Noida ,292 other locations
156,OPPO,3.9,Consumer Electronics & Appliances, Noida ,409 other locations
157,Dell,3.8,Consumer Electronics & Appliances, Noida ,117 other locations
158,CARS24,3.4,Internet, Noida ,173 other locations
159,Havells,3.9,Electrical Equipment, Noida ,260 other locations
160,Intas Pharmaceuticals,4.1,Pharma, Noida ,148 other locations
161,R1 RCM,3.8,BPO, Noida ,46 other locations
162,Tata AIA Life Insurance,3.9,Insurance, Noida ,442 other locations
163,Hyundai Motor India Limited,4.1,Automobile, Noida ,287 other locations
164,Deutsche Bank,3.8,Banking, Noida ,42 other locations
165,Hetero,3.9,Pharma, Noida ,67 other locations
166,Motilal Oswal Financial Services,3.7,Financial Services, Noida ,168 other locations
167,Team Lease,3.9,Recruitment, Noida ,396 other locations
168,Berger Paints,3.7,Chemicals, Noida ,354 other locations
169,VE Commercial Vehicles,3.9,Automobile, Noida ,179 other locations
170,Lenskart,3.3,Internet, Noida ,240 other locations
171,Thermax Limited,4.2,Industrial Machinery, Noida ,249 other locations
172,Macleods Pharmaceuticals,3.7,Pharma, Noida ,132 other locations
173,Bajaj Auto,3.8,Automobile, Noida ,317 other locations
174,Aakash Educational Services,3.2,Education & Training, Noida ,244 other locations
175,Kogta Financial India Limited,4.7,NBFC, Noida ,259 other locations
176,Jubilant Foods Works,3.7,Hospitality, Noida ,262 other locations
177,LG Electronics,3.9,Consumer Electronics & Appliances, Noida ,298 other locations
178,Royal Enfield,4.2,Automobile, Noida ,373 other locations
179,Hindalco Industries,4.2,Metals & Mining, Noida ,127 other locations
180,Jindal Steel Limited,3.9,Iron & Steel, Noida ,172 other locations
